NATLOC,OCC,DECILE,ENERGIE,ETIQUETTE,NB_LOG
MA,P,D10,Gaz,B,28843.7095
AP,G,D1,Autres,C,429.7620165
MA,G,D1,Autres,C,465.227307
AP,LP,D1,Autres,C,11320.0487
MA,LP,D1,Autres,C,4801.941762
AP,LS,D1,Autres,C,44882.35746
MA,LS,D1,Autres,C,642.5844722
AP,P,D1,Autres,C,2865.220912
MA,P,D1,Autres,C,21144.60464
AP,G,D2,Autres,C,397.4618856
MA,G,D2,Autres,C,607.1245928
AP,LP,D2,Autres,C,9189.444072
MA,LP,D2,Autres,C,5349.651594
AP,LS,D2,Autres,C,44019.20752
MA,LS,D2,Autres,C,851.3218059
AP,P,D2,Autres,C,4096.018606
MA,P,D2,Autres,C,30598.06663
AP,G,D3,Autres,C,429.8432319
MA,G,D3,Autres,C,721.2742922
AP,LP,D3,Autres,C,7441.093373
MA,LP,D3,Autres,C,5477.226334
AP,LS,D3,Autres,C,29405.16737
MA,LS,D3,Autres,C,721.3436077
AP,P,D3,Autres,C,4991.018967
MA,P,D3,Autres,C,46012.91264
AP,G,D4,Autres,C,466.6907864
MA,G,D4,Autres,C,583.2295787
AP,LP,D4,Autres,C,7314.858101
MA,LP,D4,Autres,C,5319.57055
AP,LS,D4,Autres,C,25339.49185
MA,LS,D4,Autres,C,614.5275128
AP,P,D4,Autres,C,5923.134113
MA,P,D4,Autres,C,54203.29283
AP,G,D5,Autres,C,516.2419779
MA,G,D5,Autres,C,518.8407422
AP,LP,D5,Autres,C,7061.321583
MA,LP,D5,Autres,C,5112.125899
AP,LS,D5,Autres,C,20320.99915
MA,LS,D5,Autres,C,468.0296596
AP,P,D5,Autres,C,6869.325788
MA,P,D5,Autres,C,60965.4829
AP,G,D6,Autres,C,472.6826289
MA,G,D6,Autres,C,524.7025837
AP,LP,D6,Autres,C,6997.058232
MA,LP,D6,Autres,C,5033.334184
AP,LS,D6,Autres,C,15922.09488
MA,LS,D6,Autres,C,329.5618064
AP,P,D6,Autres,C,8121.716815
MA,P,D6,Autres,C,67319.55229
AP,G,D7,Autres,C,522.8238871
MA,G,D7,Autres,C,469.6138291
