Housing type,Occupancy status,Income class,Heating energy,Energy performance,Income class owner,Stock buildings
Multi-family,Landlords,D8,Oil fuel,C,D4,65.22556648251117
Multi-family,Landlords,D8,Oil fuel,C,D5,59.67748821739828
Multi-family,Landlords,D8,Oil fuel,C,D6,98.66463252530048
Multi-family,Landlords,D8,Oil fuel,C,D7,169.1733876289462
Multi-family,Landlords,D8,Oil fuel,C,D8,239.09374995433137
Multi-family,Landlords,D8,Oil fuel,C,D9,384.3746715454098
Multi-family,Landlords,D8,Wood fuel,C,D1,6.497631741238991
Multi-family,Landlords,D8,Wood fuel,C,D10,89.63437918523248
Multi-family,Landlords,D8,Wood fuel,C,D2,3.528407713673537
Multi-family,Landlords,D8,Wood fuel,C,D3,4.427170827784634
Multi-family,Landlords,D8,Wood fuel,C,D4,5.709528402391604
Multi-family,Landlords,D8,Wood fuel,C,D5,5.223876653520292
Multi-family,Landlords,D8,Wood fuel,C,D6,8.63662137554264
Multi-family,Landlords,D8,Wood fuel,C,D7,14.808614377542556
Multi-family,Landlords,D8,Wood fuel,C,D8,20.929102341557996
Multi-family,Landlords,D8,Wood fuel,C,D9,33.646286612733306
Single-family,Landlords,D8,Oil fuel,C,D1,76.11242438174379
Single-family,Landlords,D8,Oil fuel,C,D10,878.2361468359483
Single-family,Landlords,D8,Oil fuel,C,D2,74.1392062450991
Single-family,Landlords,D8,Oil fuel,C,D3,107.00915624304845
Single-family,Landlords,D8,Oil fuel,C,D4,108.01666691715823
Single-family,Landlords,D8,Oil fuel,C,D5,163.2718079632431
Single-family,Landlords,D8,Oil fuel,C,D6,224.29251810723574
Single-family,Landlords,D8,Oil fuel,C,D7,269.2326962134776
Single-family,Landlords,D8,Oil fuel,C,D8,390.03736394372197
Single-family,Landlords,D8,Oil fuel,C,D9,498.7590958145146
Single-family,Landlords,D8,Wood fuel,C,D1,31.7876197552404
Single-family,Landlords,D8,Wood fuel,C,D10,366.78685402149324
Single-family,Landlords,D8,Wood fuel,C,D2,30.963524236915934
Single-family,Landlords,D8,Wood fuel,C,D3,44.69134174366188
Single-family,Landlords,D8,Wood fuel,C,D4,45.11211885683487
Single-family,Landlords,D8,Wood fuel,C,D5,68.1888954457096
Single-family,Landlords,D8,Wood fuel,C,D6,93.67360634551417
Single-family,Landlords,D8,Wood fuel,C,D7,112.44243817524423
Single-family,Landlords,D8,Wood fuel,C,D8,162.89534220057243
Single-family,Landlords,D8,Wood fuel,C,D9,208.30192463324175
Multi-family,Landlords,D9,Oil fuel,C,D1,64.60360152338906
Multi-family,Landlords,D9,Oil fuel,C,D10,1129.6021428199333
Multi-family,Landlords,D9,Oil fuel,C,D2,33.93809475661619
Multi-family,Landlords,D9,Oil fuel,C,D3,55.083608087388384
Multi-family,Landlords,D9,Oil fuel,C,D4,39.206276988234265
Multi-family,Landlords,D9,Oil fuel,C,D5,53.54640702193741
Multi-family,Landlords,D9,Oil fuel,C,D6,100.8591113060854
Multi-family,Landlords,D9,Oil fuel,C,D7,137.29069676725788
Multi-family,Landlords,D9,Oil fuel,C,D8,205.39701689944383
Multi-family,Landlords,D9,Oil fuel,C,D9,374.583812974223
Multi-family,Landlords,D9,Wood fuel,C,D1,5.655084619211093
Multi-family,Landlords,D9,Wood fuel,C,D10,98.87986974497375
Multi-family,Landlords,D9,Wood fuel,C,D2,2.9707755161913885
Multi-family,Landlords,D9,Wood fuel,C,D3,4.821750761880754
Multi-family,Landlords,D9,Wood fuel,C,D4,3.4319265295515127
Multi-family,Landlords,D9,Wood fuel,C,D5,4.687191667698992
Multi-family,Landlords,D9,Wood fuel,C,D6,8.828715359589479
Multi-family,Landlords,D9,Wood fuel,C,D7,12.01775890726789
Multi-family,Landlords,D9,Wood fuel,C,D8,17.97945445316022
Multi-family,Landlords,D9,Wood fuel,C,D9,32.78924254074386
Single-family,Landlords,D9,Oil fuel,C,D1,78.93475272128639
Single-family,Landlords,D9,Oil fuel,C,D10,891.5021870094066
Single-family,Landlords,D9,Oil fuel,C,D2,70.25288112653037
Single-family,Landlords,D9,Oil fuel,C,D3,94.30173673103803
Single-family,Landlords,D9,Oil fuel,C,D4,94.85140932884906
Single-family,Landlords,D9,Oil fuel,C,D5,95.22206012459262
Single-family,Landlords,D9,Oil fuel,C,D6,162.6634797916818
Single-family,Landlords,D9,Oil fuel,C,D7,250.35410231017886
Single-family,Landlords,D9,Oil fuel,C,D8,332.5778416055065
Single-family,Landlords,D9,Oil fuel,C,D9,507.24758231296164
Single-family,Landlords,D9,Wood fuel,C,D1,32.9663379580906
Single-family,Landlords,D9,Wood fuel,C,D10,372.3272877170043
Single-family,Landlords,D9,Wood fuel,C,D2,29.340438044119093
Single-family,Landlords,D9,Wood fuel,C,D3,39.38421057816195
Single-family,Landlords,D9,Wood fuel,C,D4,39.61377603572059
Single-family,Landlords,D9,Wood fuel,C,D5,39.76857476474254
Single-family,Landlords,D9,Wood fuel,C,D6,67.93483305364855
Single-family,Landlords,D9,Wood fuel,C,D7,104.55797556107481
Single-family,Landlords,D9,Wood fuel,C,D8,138.89792703161044
Single-family,Landlords,D9,Wood fuel,C,D9,211.8470591274053
Multi-family,Landlords,D10,Oil fuel,C,D1,116.44504009447093
Multi-family,Landlords,D10,Oil fuel,C,D10,1402.0628036133164
Multi-family,Landlords,D10,Oil fuel,C,D2,54.2298678836737
Multi-family,Landlords,D10,Oil fuel,C,D3,45.24286387186246
Multi-family,Landlords,D10,Oil fuel,C,D4,44.9970311074114
Multi-family,Landlords,D10,Oil fuel,C,D5,62.123821341685144
Multi-family,Landlords,D10,Oil fuel,C,D6,96.7520071685242
Multi-family,Landlords,D10,Oil fuel,C,D7,131.07237124344474
Multi-family,Landlords,D10,Oil fuel,C,D8,206.66752767420004
Multi-family,Landlords,D10,Oil fuel,C,D9,370.1511281768508
Multi-family,Landlords,D10,Wood fuel,C,D1,10.193031652937432
Multi-family,Landlords,D10,Wood fuel,C,D10,122.72974894458655
Multi-family,Landlords,D10,Wood fuel,C,D2,4.747018502672554
Multi-family,Landlords,D10,Wood fuel,C,D3,3.96033994355875
Multi-family,Landlords,D10,Wood fuel,C,D4,3.9388209407111763
Multi-family,Landlords,D10,Wood fuel,C,D5,5.438016740116128
Multi-family,Landlords,D10,Wood fuel,C,D6,8.469199467438916
Multi-family,Landlords,D10,Wood fuel,C,D7,11.473436977874641
Multi-family,Landlords,D10,Wood fuel,C,D8,18.09066877823565
Multi-family,Landlords,D10,Wood fuel,C,D9,32.401226903405814
Single-family,Landlords,D10,Oil fuel,C,D1,83.44814258516129
Single-family,Landlords,D10,Oil fuel,C,D10,995.1600730172104
Single-family,Landlords,D10,Oil fuel,C,D2,53.727198706705394
Single-family,Landlords,D10,Oil fuel,C,D3,53.566207397227785
Single-family,Landlords,D10,Oil fuel,C,D4,75.96976922469587
Single-family,Landlords,D10,Oil fuel,C,D5,68.98695941087726
Single-family,Landlords,D10,Oil fuel,C,D6,91.27534891247727
Single-family,Landlords,D10,Oil fuel,C,D7,130.15027095388857
Single-family,Landlords,D10,Oil fuel,C,D8,211.7846096799564
Single-family,Landlords,D10,Oil fuel,C,D9,413.9147891307737
Single-family,Landlords,D10,Wood fuel,C,D1,34.85131169221361
Single-family,Landlords,D10,Wood fuel,C,D10,415.61900377799554
Single-family,Landlords,D10,Wood fuel,C,D2,22.43864621151971
Single-family,Landlords,D10,Wood fuel,C,D3,22.371409744265623
Single-family,Landlords,D10,Wood fuel,C,D4,31.728041205152195
Single-family,Landlords,D10,Wood fuel,C,D5,28.811738052442912
Single-family,Landlords,D10,Wood fuel,C,D6,38.120268902545384
Single-family,Landlords,D10,Wood fuel,C,D7,54.35600505081344
Single-family,Landlords,D10,Wood fuel,C,D8,88.44979905978687
Single-family,Landlords,D10,Wood fuel,C,D9,172.8675184746245
Multi-family,Landlords,D1,Oil fuel,D,D1,449.6626268456395
Multi-family,Landlords,D1,Oil fuel,D,D10,2476.4796256245427
Multi-family,Landlords,D1,Oil fuel,D,D2,371.98628754816104
Multi-family,Landlords,D1,Oil fuel,D,D3,388.97331707084516
Multi-family,Landlords,D1,Oil fuel,D,D4,393.34872788249675
Multi-family,Landlords,D1,Oil fuel,D,D5,469.38887579865536
Multi-family,Landlords,D1,Oil fuel,D,D6,504.01943343478104
Multi-family,Landlords,D1,Oil fuel,D,D7,598.6082106682102
Multi-family,Landlords,D1,Oil fuel,D,D8,856.1625031066895
Multi-family,Landlords,D1,Oil fuel,D,D9,1276.239335640941
Multi-family,Landlords,D1,Wood fuel,D,D1,39.36127622835716
Multi-family,Landlords,D1,Wood fuel,D,D10,216.77896449145703
Multi-family,Landlords,D1,Wood fuel,D,D2,32.561867816447496
Multi-family,Landlords,D1,Wood fuel,D,D3,34.04882964387808
Multi-family,Landlords,D1,Wood fuel,D,D4,34.43183179546466
Multi-family,Landlords,D1,Wood fuel,D,D5,41.08801598308342
Multi-family,Landlords,D1,Wood fuel,D,D6,44.11940632703902
Multi-family,Landlords,D1,Wood fuel,D,D7,52.39924718218224
Multi-family,Landlords,D1,Wood fuel,D,D8,74.94429549892868
Multi-family,Landlords,D1,Wood fuel,D,D9,111.71577539376565
Single-family,Landlords,D1,Oil fuel,D,D1,573.9361439518179
Single-family,Landlords,D1,Oil fuel,D,D10,1675.1869010565633
Single-family,Landlords,D1,Oil fuel,D,D2,488.57972228647685
Single-family,Landlords,D1,Oil fuel,D,D3,565.5409973564158
Single-family,Landlords,D1,Oil fuel,D,D4,519.7905010989241
Single-family,Landlords,D1,Oil fuel,D,D5,579.6288726025333
Single-family,Landlords,D1,Oil fuel,D,D6,693.0387026432342
Single-family,Landlords,D1,Oil fuel,D,D7,573.4164348038316
Single-family,Landlords,D1,Oil fuel,D,D8,861.7636804282652
Single-family,Landlords,D1,Oil fuel,D,D9,952.8571449209942
Single-family,Landlords,D1,Wood fuel,D,D1,239.6988935239502
Single-family,Landlords,D1,Wood fuel,D,D10,699.6256480107353
Single-family,Landlords,D1,Wood fuel,D,D2,204.05060748385094
Single-family,Landlords,D1,Wood fuel,D,D3,236.19274153980516
Single-family,Landlords,D1,Wood fuel,D,D4,217.08548815167737
Single-family,Landlords,D1,Wood fuel,D,D5,242.0764067248319
Single-family,Landlords,D1,Wood fuel,D,D6,289.4409281301563
Single-family,Landlords,D1,Wood fuel,D,D7,239.48184201214116
Single-family,Landlords,D1,Wood fuel,D,D8,359.90728734296835
Single-family,Landlords,D1,Wood fuel,D,D9,397.95159397231953
Multi-family,Landlords,D2,Oil fuel,D,D1,388.71924466803483
Multi-family,Landlords,D2,Oil fuel,D,D10,1897.7296018641846
Multi-family,Landlords,D2,Oil fuel,D,D2,302.243599019551
Multi-family,Landlords,D2,Oil fuel,D,D3,304.9736692243775
Multi-family,Landlords,D2,Oil fuel,D,D4,222.60436555327962
Multi-family,Landlords,D2,Oil fuel,D,D5,347.59691005295457
Multi-family,Landlords,D2,Oil fuel,D,D6,392.2853829970641
Multi-family,Landlords,D2,Oil fuel,D,D7,497.3553880907295
Multi-family,Landlords,D2,Oil fuel,D,D8,694.3773463697358
Multi-family,Landlords,D2,Oil fuel,D,D9,986.8301834492754
Multi-family,Landlords,D2,Wood fuel,D,D1,34.026589383220475
Multi-family,Landlords,D2,Wood fuel,D,D10,166.11800626995065
Multi-family,Landlords,D2,Wood fuel,D,D2,26.456932551224174
Multi-family,Landlords,D2,Wood fuel,D,D3,26.695909599881297
Multi-family,Landlords,D2,Wood fuel,D,D4,19.485701944245985
Multi-family,Landlords,D2,Wood fuel,D,D5,30.42694050136054
Multi-family,Landlords,D2,Wood fuel,D,D6,34.338751763318925
Multi-family,Landlords,D2,Wood fuel,D,D7,43.536068255503984
Multi-family,Landlords,D2,Wood fuel,D,D8,60.782410868571496
Multi-family,Landlords,D2,Wood fuel,D,D9,86.38230780642866
Single-family,Landlords,D2,Oil fuel,D,D1,583.0096894618437
Single-family,Landlords,D2,Oil fuel,D,D10,1903.6017266640426
Single-family,Landlords,D2,Oil fuel,D,D2,509.84851126595856
Single-family,Landlords,D2,Oil fuel,D,D3,478.8177922167867
Single-family,Landlords,D2,Oil fuel,D,D4,576.4411108010714
Single-family,Landlords,D2,Oil fuel,D,D5,639.8751785168477
Single-family,Landlords,D2,Oil fuel,D,D6,742.3057131251026
Single-family,Landlords,D2,Oil fuel,D,D7,837.7836912506556
Single-family,Landlords,D2,Oil fuel,D,D8,1072.7519987741232
Single-family,Landlords,D2,Oil fuel,D,D9,1421.9260120196973
Single-family,Landlords,D2,Wood fuel,D,D1,243.48837226999507
Single-family,Landlords,D2,Wood fuel,D,D10,795.0208963141339
Single-family,Landlords,D2,Wood fuel,D,D2,212.93331201239533
Single-family,Landlords,D2,Wood fuel,D,D3,199.97363156759053
Single-family,Landlords,D2,Wood fuel,D,D4,240.74506876209767
Single-family,Landlords,D2,Wood fuel,D,D5,267.2376951691067
Single-family,Landlords,D2,Wood fuel,D,D6,310.01681975883906
Single-family,Landlords,D2,Wood fuel,D,D7,349.8922762077367
Single-family,Landlords,D2,Wood fuel,D,D8,448.0245230092182
Single-family,Landlords,D2,Wood fuel,D,D9,593.853681016224
Multi-family,Landlords,D3,Oil fuel,D,D1,227.94363414220734
Multi-family,Landlords,D3,Oil fuel,D,D10,1654.8436140132783
Multi-family,Landlords,D3,Oil fuel,D,D2,168.84117673513322
Multi-family,Landlords,D3,Oil fuel,D,D3,221.71604583068105
Multi-family,Landlords,D3,Oil fuel,D,D4,226.36005536696487
Multi-family,Landlords,D3,Oil fuel,D,D5,244.6464631120878
Multi-family,Landlords,D3,Oil fuel,D,D6,351.5552984972157
Multi-family,Landlords,D3,Oil fuel,D,D7,424.01727188763124
Multi-family,Landlords,D3,Oil fuel,D,D8,517.137082948798
Multi-family,Landlords,D3,Oil fuel,D,D9,880.3907154364354
Multi-family,Landlords,D3,Wood fuel,D,D1,19.95307551109195
Multi-family,Landlords,D3,Wood fuel,D,D10,144.85694989339126
Multi-family,Landlords,D3,Wood fuel,D,D2,14.77953425396375
Multi-family,Landlords,D3,Wood fuel,D,D3,19.40794276237761
Multi-family,Landlords,D3,Wood fuel,D,D4,19.8144567380822
Multi-family,Landlords,D3,Wood fuel,D,D5,21.415159806356623
Multi-family,Landlords,D3,Wood fuel,D,D6,30.77343854605391
Multi-family,Landlords,D3,Wood fuel,D,D7,37.11640676353736
Multi-family,Landlords,D3,Wood fuel,D,D8,45.26766147470384
Multi-family,Landlords,D3,Wood fuel,D,D9,77.06511520040185
Single-family,Landlords,D3,Oil fuel,D,D1,381.35237671961
Single-family,Landlords,D3,Oil fuel,D,D10,2176.307809028298
Single-family,Landlords,D3,Oil fuel,D,D2,551.562427813754
Single-family,Landlords,D3,Oil fuel,D,D3,555.6134675314145
Single-family,Landlords,D3,Oil fuel,D,D4,464.18286821346015
Single-family,Landlords,D3,Oil fuel,D,D5,631.4986887635923
Single-family,Landlords,D3,Oil fuel,D,D6,644.7789476301043
Single-family,Landlords,D3,Oil fuel,D,D7,856.8953130180802
Single-family,Landlords,D3,Oil fuel,D,D8,1171.0952111787612
Single-family,Landlords,D3,Oil fuel,D,D9,1346.6919671497633
Single-family,Landlords,D3,Wood fuel,D,D1,159.2681410740582
Single-family,Landlords,D3,Wood fuel,D,D10,908.9139607060687
Single-family,Landlords,D3,Wood fuel,D,D2,230.35472682730958
Single-family,Landlords,D3,Wood fuel,D,D3,232.04660448334778
Single-family,Landlords,D3,Wood fuel,D,D4,193.8614967467193
Single-family,Landlords,D3,Wood fuel,D,D5,263.739335035094
Single-family,Landlords,D3,Wood fuel,D,D6,269.2857070305852
Single-family,Landlords,D3,Wood fuel,D,D7,357.8740606612429
Single-family,Landlords,D3,Wood fuel,D,D8,489.09661691268474
Single-family,Landlords,D3,Wood fuel,D,D9,562.4329079900032
Multi-family,Landlords,D4,Oil fuel,D,D1,222.47369582185996
Multi-family,Landlords,D4,Oil fuel,D,D10,1651.9877071427252
Multi-family,Landlords,D4,Oil fuel,D,D2,182.06051862658745
Multi-family,Landlords,D4,Oil fuel,D,D3,172.4909690580539
Multi-family,Landlords,D4,Oil fuel,D,D4,221.93416785806568
Multi-family,Landlords,D4,Oil fuel,D,D5,248.44767248039798
Multi-family,Landlords,D4,Oil fuel,D,D6,286.06971910087896
Multi-family,Landlords,D4,Oil fuel,D,D7,374.4768861086677
Multi-family,Landlords,D4,Oil fuel,D,D8,568.6240381787318
Multi-family,Landlords,D4,Oil fuel,D,D9,823.5191065727902
Multi-family,Landlords,D4,Wood fuel,D,D1,19.47426375239718
Multi-family,Landlords,D4,Wood fuel,D,D10,144.6069577159162
Multi-family,Landlords,D4,Wood fuel,D,D2,15.936691057046794
Multi-family,Landlords,D4,Wood fuel,D,D3,15.099019297242506
Multi-family,Landlords,D4,Wood fuel,D,D4,19.427036102270236
Multi-family,Landlords,D4,Wood fuel,D,D5,21.747899160297283
Multi-family,Landlords,D4,Wood fuel,D,D6,25.041149879604294
Multi-family,Landlords,D4,Wood fuel,D,D7,32.77988268373087
Multi-family,Landlords,D4,Wood fuel,D,D8,49.774578763291785
Multi-family,Landlords,D4,Wood fuel,D,D9,72.08685155919984
Single-family,Landlords,D4,Oil fuel,D,D1,366.69618460077027
Single-family,Landlords,D4,Oil fuel,D,D10,2051.540003893124
Single-family,Landlords,D4,Oil fuel,D,D2,434.8343623440828
Single-family,Landlords,D4,Oil fuel,D,D3,628.6900637262178
Single-family,Landlords,D4,Oil fuel,D,D4,494.19237792742445
Single-family,Landlords,D4,Oil fuel,D,D5,586.9843654332238
Single-family,Landlords,D4,Oil fuel,D,D6,797.2839752706552
Single-family,Landlords,D4,Oil fuel,D,D7,812.5266567948927
Single-family,Landlords,D4,Oil fuel,D,D8,1012.269405508387
Single-family,Landlords,D4,Oil fuel,D,D9,1403.4847751750924
Single-family,Landlords,D4,Wood fuel,D,D1,153.14712382992516
Single-family,Landlords,D4,Wood fuel,D,D10,856.8058905775848
Single-family,Landlords,D4,Wood fuel,D,D2,181.60437640745477
Single-family,Landlords,D4,Wood fuel,D,D3,262.56633988419304
Single-family,Landlords,D4,Wood fuel,D,D4,206.3946789647003
Single-family,Landlords,D4,Wood fuel,D,D5,245.1483573441117
Single-family,Landlords,D4,Wood fuel,D,D6,332.97796054607096
Single-family,Landlords,D4,Wood fuel,D,D7,339.34391943226433
Single-family,Landlords,D4,Wood fuel,D,D8,422.7645514321831
Single-family,Landlords,D4,Wood fuel,D,D9,586.151876358255
Multi-family,Landlords,D5,Oil fuel,D,D1,181.55680814676256
Multi-family,Landlords,D5,Oil fuel,D,D10,1620.0816352149861
Multi-family,Landlords,D5,Oil fuel,D,D2,155.91001896394488
Multi-family,Landlords,D5,Oil fuel,D,D3,116.53715752910414
Multi-family,Landlords,D5,Oil fuel,D,D4,215.8431541373165
Multi-family,Landlords,D5,Oil fuel,D,D5,287.3933027033511
Multi-family,Landlords,D5,Oil fuel,D,D6,266.04991583004676
Multi-family,Landlords,D5,Oil fuel,D,D7,377.70663533513937
Multi-family,Landlords,D5,Oil fuel,D,D8,532.4533422303307
Multi-family,Landlords,D5,Oil fuel,D,D9,921.480671809332
Multi-family,Landlords,D5,Wood fuel,D,D1,15.892598695013978
Multi-family,Landlords,D5,Wood fuel,D,D10,141.81405558099925
Multi-family,Landlords,D5,Wood fuel,D,D2,13.647603685139902
Multi-family,Landlords,D5,Wood fuel,D,D3,10.201095164498264
Multi-family,Landlords,D5,Wood fuel,D,D4,18.893858428032654
Multi-family,Landlords,D5,Wood fuel,D,D5,25.157009941521594
Multi-family,Landlords,D5,Wood fuel,D,D6,23.28871380968136
Multi-family,Landlords,D5,Wood fuel,D,D7,33.06259920020738
Multi-family,Landlords,D5,Wood fuel,D,D8,46.60837221287356
Multi-family,Landlords,D5,Wood fuel,D,D9,80.66192984864243
Single-family,Landlords,D5,Oil fuel,D,D1,348.01677365844023
Single-family,Landlords,D5,Oil fuel,D,D10,1893.3248129522067
Single-family,Landlords,D5,Oil fuel,D,D2,273.1774993241786
Single-family,Landlords,D5,Oil fuel,D,D3,492.3839338555817
Single-family,Landlords,D5,Oil fuel,D,D4,524.819049282037
Single-family,Landlords,D5,Oil fuel,D,D5,703.5148971001056
Single-family,Landlords,D5,Oil fuel,D,D6,669.7611795298047
Single-family,Landlords,D5,Oil fuel,D,D7,737.5725649065839
Single-family,Landlords,D5,Oil fuel,D,D8,1012.122911150381
Single-family,Landlords,D5,Oil fuel,D,D9,1298.3742875329328
Single-family,Landlords,D5,Wood fuel,D,D1,145.34584805780452
Single-family,Landlords,D5,Wood fuel,D,D10,790.7288424479899
Single-family,Landlords,D5,Wood fuel,D,D2,114.08994713729399
Single-family,Landlords,D5,Wood fuel,D,D3,205.6393997448973
Single-family,Landlords,D5,Wood fuel,D,D4,219.18561278788633
Single-family,Landlords,D5,Wood fuel,D,D5,293.81620967692123
Single-family,Landlords,D5,Wood fuel,D,D6,279.71929516965116
Single-family,Landlords,D5,Wood fuel,D,D7,308.04006606799817
Single-family,Landlords,D5,Wood fuel,D,D8,422.7033694768532
Single-family,Landlords,D5,Wood fuel,D,D9,542.2534952385191
Multi-family,Landlords,D6,Oil fuel,D,D1,196.9239898518969
Multi-family,Landlords,D6,Oil fuel,D,D10,1696.0644044807877
Multi-family,Landlords,D6,Oil fuel,D,D2,126.79401059925866
Multi-family,Landlords,D6,Oil fuel,D,D3,111.57666261217287
Multi-family,Landlords,D6,Oil fuel,D,D4,174.63664796034092
Multi-family,Landlords,D6,Oil fuel,D,D5,258.8186151103615
Multi-family,Landlords,D6,Oil fuel,D,D6,308.7248309981771
Multi-family,Landlords,D6,Oil fuel,D,D7,345.7671461739958
Multi-family,Landlords,D6,Oil fuel,D,D8,521.3165206722078
Multi-family,Landlords,D6,Oil fuel,D,D9,805.9643180795593
Multi-family,Landlords,D6,Wood fuel,D,D1,17.237766934123144
Multi-family,Landlords,D6,Wood fuel,D,D10,148.4652171210341
Multi-family,Landlords,D6,Wood fuel,D,D2,11.09893012525567
Multi-family,Landlords,D6,Wood fuel,D,D3,9.76687760004473
Multi-family,Landlords,D6,Wood fuel,D,D4,15.28684157761021
Multi-family,Landlords,D6,Wood fuel,D,D5,22.65572096543604
Multi-family,Landlords,D6,Wood fuel,D,D6,27.024268031160197
Multi-family,Landlords,D6,Wood fuel,D,D7,30.266771883440057
Multi-family,Landlords,D6,Wood fuel,D,D8,45.63350909665183
Multi-family,Landlords,D6,Wood fuel,D,D9,70.55019087681312
Single-family,Landlords,D6,Oil fuel,D,D1,235.00446317879596
Single-family,Landlords,D6,Oil fuel,D,D10,1821.5512101760844
Single-family,Landlords,D6,Oil fuel,D,D2,277.84863965991565
Single-family,Landlords,D6,Oil fuel,D,D3,413.33560227261034
Single-family,Landlords,D6,Oil fuel,D,D4,490.07579497078615
Single-family,Landlords,D6,Oil fuel,D,D5,565.7592579204891
Single-family,Landlords,D6,Oil fuel,D,D6,676.5875260515157
Single-family,Landlords,D6,Oil fuel,D,D7,829.541184609408
Single-family,Landlords,D6,Oil fuel,D,D8,988.9630124383642
Single-family,Landlords,D6,Oil fuel,D,D9,1252.1353971915717
Single-family,Landlords,D6,Wood fuel,D,D1,98.14734686212103
Single-family,Landlords,D6,Wood fuel,D,D10,760.7532896779447
Single-family,Landlords,D6,Wood fuel,D,D2,116.0408038341067
Single-family,Landlords,D6,Wood fuel,D,D3,172.62562667096591
Single-family,Landlords,D6,Wood fuel,D,D4,204.67542780722553
Single-family,Landlords,D6,Wood fuel,D,D5,236.28389595874103
Single-family,Landlords,D6,Wood fuel,D,D6,282.5702529378773
Single-family,Landlords,D6,Wood fuel,D,D7,346.449872827864
Single-family,Landlords,D6,Wood fuel,D,D8,413.0308612128272
Single-family,Landlords,D6,Wood fuel,D,D9,522.9422687730015
Multi-family,Landlords,D7,Oil fuel,D,D1,144.9935721905876
Multi-family,Landlords,D7,Oil fuel,D,D10,1859.8417825243807
Multi-family,Landlords,D7,Oil fuel,D,D2,103.2193696115629
Multi-family,Landlords,D7,Oil fuel,D,D3,142.4505506884314
Multi-family,Landlords,D7,Oil fuel,D,D4,167.87097673311953
Multi-family,Landlords,D7,Oil fuel,D,D5,229.87329312290626
Multi-family,Landlords,D7,Oil fuel,D,D6,287.0490113565961
Multi-family,Landlords,D7,Oil fuel,D,D7,391.2891949298838
Multi-family,Landlords,D7,Oil fuel,D,D8,474.60452943823134
Multi-family,Landlords,D7,Oil fuel,D,D9,802.4868237006308
Multi-family,Landlords,D7,Wood fuel,D,D1,12.692031104219634
Multi-family,Landlords,D7,Wood fuel,D,D10,162.80149110126607
Multi-family,Landlords,D7,Wood fuel,D,D2,9.035320875782542
Multi-family,Landlords,D7,Wood fuel,D,D3,12.469427387955301
Multi-family,Landlords,D7,Wood fuel,D,D4,14.69460767124127
Multi-family,Landlords,D7,Wood fuel,D,D5,20.121988459669936
Multi-family,Landlords,D7,Wood fuel,D,D6,25.126872353931265
Multi-family,Landlords,D7,Wood fuel,D,D7,34.251550311949174
Multi-family,Landlords,D7,Wood fuel,D,D8,41.5445688993418
Multi-family,Landlords,D7,Wood fuel,D,D9,70.24578795635746
Single-family,Landlords,D7,Oil fuel,D,D1,268.1146352067926
Single-family,Landlords,D7,Oil fuel,D,D10,2045.2230751072464
Single-family,Landlords,D7,Oil fuel,D,D2,257.5510732672081
Single-family,Landlords,D7,Oil fuel,D,D3,285.29624746949037
Single-family,Landlords,D7,Oil fuel,D,D4,373.7304857649978
Single-family,Landlords,D7,Oil fuel,D,D5,546.9059569935432
Single-family,Landlords,D7,Oil fuel,D,D6,629.3058520299988
Single-family,Landlords,D7,Oil fuel,D,D7,807.3801302875042
Single-family,Landlords,D7,Oil fuel,D,D8,903.5188717049188
Single-family,Landlords,D7,Oil fuel,D,D9,1245.4820838264302
Single-family,Landlords,D7,Wood fuel,D,D1,111.97549078219568
Single-family,Landlords,D7,Wood fuel,D,D10,854.1676862121674
Single-family,Landlords,D7,Wood fuel,D,D2,107.56372104914556
Single-family,Landlords,D7,Wood fuel,D,D3,119.15122538564647
Single-family,Landlords,D7,Wood fuel,D,D4,156.0849318483745
Single-family,Landlords,D7,Wood fuel,D,D5,228.40999671213362
Single-family,Landlords,D7,Wood fuel,D,D6,262.8235179285046
Single-family,Landlords,D7,Wood fuel,D,D7,337.1945222871069
Single-family,Landlords,D7,Wood fuel,D,D8,377.34594015019593
Single-family,Landlords,D7,Wood fuel,D,D9,520.1635766332946
Multi-family,Landlords,D8,Oil fuel,D,D1,207.24700588127666
Multi-family,Landlords,D8,Oil fuel,D,D10,2112.986077234945
Multi-family,Landlords,D8,Oil fuel,D,D2,92.58860614917252
Multi-family,Landlords,D8,Oil fuel,D,D3,116.72379233032373
Multi-family,Landlords,D8,Oil fuel,D,D4,137.72772346095493
Multi-family,Landlords,D8,Oil fuel,D,D5,127.13393042439233
Multi-family,Landlords,D8,Oil fuel,D,D6,237.51547958535673
Multi-family,Landlords,D8,Oil fuel,D,D7,349.5439818827719
Multi-family,Landlords,D8,Oil fuel,D,D8,524.4808145203978
Multi-family,Landlords,D8,Oil fuel,D,D9,752.7426688473644
Multi-family,Landlords,D8,Wood fuel,D,D1,18.141393478077976
Multi-family,Landlords,D8,Wood fuel,D,D10,184.96050969623522
Multi-family,Landlords,D8,Wood fuel,D,D2,8.104755620455874
Multi-family,Landlords,D8,Wood fuel,D,D3,10.217432265974017
Multi-family,Landlords,D8,Wood fuel,D,D4,12.056014095452964
Multi-family,Landlords,D8,Wood fuel,D,D5,11.128685051135188
Multi-family,Landlords,D8,Wood fuel,D,D6,20.790948240577833
Multi-family,Landlords,D8,Wood fuel,D,D7,30.59737768593939
Multi-family,Landlords,D8,Wood fuel,D,D8,45.91049596812035
Multi-family,Landlords,D8,Wood fuel,D,D9,65.89142692426368
